TimeStamp,Origin,Trip,Destination,ScheduledTime,Lateness,Track,Status
1481650692,"North Station","411","Wachusett",1481652000,0,,"On Time"
1481650692,"North Station","319","Lowell",1481652900,0,,"On Time"
1481650692,"North Station","163","Newburyport",1481653200,0,,"On Time"
1481650692,"North Station","111","Rockport",1481655000,0,,"On Time"
1481650692,"North Station","413","Wachusett",1481655300,0,,"On Time"
1481650692,"North Station","209","Haverhill",1481655720,0,,"On Time"
1481650692,"North Station","321","Lowell",1481656500,0,,"On Time"
1481650692,"North Station","323","Lowell",1481659200,0,,"On Time"
1481650692,"North Station","211","Haverhill",1481660100,0,,"On Time"
1481650692,"North Station","165","Newburyport",1481660100,0,,"On Time"
1481650692,"North Station","415","Wachusett",1481661000,0,,"On Time"
1481650692,"North Station","113","Rockport",1481661300,0,,"On Time"
1481650692,"North Station","325","Lowell",1481661600,0,,"On Time"
1481650692,"North Station","291","Reading",1481662200,0,,"On Time"
1481650692,"North Station","493","Littleton / Rte 495",1481662740,0,,"On Time"
1481650692,"North Station","327","Lowell",1481663700,0,,"On Time"
1481650692,"North Station","115","Rockport",1481663700,0,,"On Time"
1481650692,"North Station","213","Haverhill",1481664600,0,,"On Time"
1481650692,"North Station","167","Newburyport",1481664600,0,,"On Time"
1481650692,"South Station","077","Greenbush",1481650860,0,"12","Now Boarding"
1481650692,"South Station","765","Readville",1481651100,0,"10","Now Boarding"
1481650692,"South Station","911","Stoughton",1481653200,0,,"On Time"
1481650692,"South Station","711","Forge Park / 495",1481654100,0,,"On Time"
1481650692,"South Station","813","Providence",1481654580,0,,"On Time"
1481650692,"South Station","767","Readville",1481654700,0,,"On Time"
1481650692,"South Station","611","Needham Heights",1481655120,0,,"On Time"
1481650692,"South Station","515","Worcester / Union Station",1481655600,0,,"On Time"
1481650692,"South Station","015","Middleboro/Lakeville",1481656200,0,,"On Time"
1481650692,"South Station","079","Greenbush",1481657220,0,,"On Time"
1481650692,"South Station","815","Providence",1481657400,0,,"On Time"
1481650692,"South Station","713","Forge Park / 495",1481658000,0,,"On Time"
1481650692,"South Station","769","Readville",1481658300,0,,"On Time"
1481650692,"South Station","041","Kingston",1481658420,0,,"On Time"
1481650692,"South Station","613","Needham Heights",1481659200,0,,"On Time"
